date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:02:00	4643/4643	---M--	200	added ('OK')	image/png	etag:%221781f69-1223-6032e867d4700%22	https://www.wisecrypto.co/assets/images/portfolio/p7.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p7.png	(from https://www.wisecrypto.co/)
23:02:01	8888/8888	---M--	200	added ('OK')	image/png	etag:%221781f39-22b8-6032eecb619c0%22	https://www.wisecrypto.co/assets/images/portfolio/p8-1.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p8-1.png	(from https://www.wisecrypto.co/)
23:02:05	8986/8986	---M--	200	added ('OK')	image/png	etag:%221781f37-231a-6032e879f31c0%22	https://www.wisecrypto.co/assets/images/portfolio/p8.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p8.png	(from https://www.wisecrypto.co/)
23:02:05	8852/8852	---M--	200	added ('OK')	image/png	etag:%221781f31-2294-5fc437ce5da00%22	https://www.wisecrypto.co/assets/images/portfolio/p9.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p9.png	(from https://www.wisecrypto.co/)
23:02:06	6535/6535	---M--	200	added ('OK')	image/png	etag:%221781f35-1987-5fc7dd73157c0%22	https://www.wisecrypto.co/assets/images/portfolio/p10-1.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p10-1.png	(from https://www.wisecrypto.co/)
23:02:07	6672/6672	---M--	200	added ('OK')	image/png	etag:%221781f17-1a10-5fc7dd5955b00%22	https://www.wisecrypto.co/assets/images/portfolio/p10.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p10.png	(from https://www.wisecrypto.co/)
23:02:08	5774/5774	---M--	200	added ('OK')	image/png	etag:%221781f09-168e-5fc7ddc519940%22	https://www.wisecrypto.co/assets/images/portfolio/p11-1.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p11-1.png	(from https://www.wisecrypto.co/)
23:02:08	5909/5909	---M--	200	added ('OK')	image/png	etag:%221781f0f-1715-5fc7ddae36340%22	https://www.wisecrypto.co/assets/images/portfolio/p11.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p11.png	(from https://www.wisecrypto.co/)
23:02:09	11387/11387	---M--	200	added ('OK')	image/png	etag:%221781f2d-2c7b-5fc7de70c2e40%22	https://www.wisecrypto.co/assets/images/portfolio/p12-1.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p12-1.png	(from https://www.wisecrypto.co/)
23:02:10	13305/13305	---M--	200	added ('OK')	image/png	etag:%221781f06-33f9-5fc7de1905f40%22	https://www.wisecrypto.co/assets/images/portfolio/p12.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p12.png	(from https://www.wisecrypto.co/)
23:02:11	2143/2143	---M--	200	added ('OK')	image/png	etag:%221781f0d-85f-5fc7df2aba500%22	https://www.wisecrypto.co/assets/images/portfolio/p13-1.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p13-1.png	(from https://www.wisecrypto.co/)
23:02:12	2143/2143	---M--	200	added ('OK')	image/png	etag:%221781f0b-85f-5fc7dea34e580%22	https://www.wisecrypto.co/assets/images/portfolio/p13.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p13.png	(from https://www.wisecrypto.co/)
